10,10
[floor1]
0,0,0,0,A3,0,0,0,0,A1
0,-1,-1,-1,D1,D1,-1,-1,-1,0
0,-1,0,0,K1,-1,UP,0,-1,0
0,D2,0,0,0,-1,UP,0,-1,0
0,-1,0,0,0,0,K4,0,-1,0
0,-1,0,0,0,T2,0,0,-1,0
0,-1,-1,-1,-1,-1,-1,-1,-1,0
K2,0,0,0,0,0,0,0,0,0
T3,0,0,A2,0,0,-1,-1,D3,D3
0,0,0,0,0,0,-1,0,T1,-1
[floor2]
0,0,0,0,0,0,0,0,0,0
0,-1,-1,-1,0,0,-1,-1,-1,-1
0,-1,0,0,0,0,DO,0,0,0
0,-1,0,0,0,-1,DO,0,-1,0
0,-1,0,0,0,0,0,0,-1,0
0,-1,0,0,0,0,0,0,-1,0
0,-1,-1,-1,-1,D4,-1,-1,-1,0
-1,-1,0,0,0,0,0,0,K3,-1
0,0,0,-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,-1,0,0,-1
